url,producto,variedad,mercado,volumen,calidad,precioMin,precioProm,precioMax,unidad
15/02/2017,Limón,Sin especificar,Agrícola del Norte S.A. de Arica,250,2a plateado,29.412,29.832,30.252,$/caja 20 kilos
15/02/2017,Limón,Sutil De Gase,Agrícola del Norte S.A. de Arica,200,Segunda,24.370,24.874,25.210,$/caja 20 kilos
15/02/2017,Ajo,Chino,Agrícola del Norte S.A. de Arica,250,Primera,19.328,19.664,20.168,$/caja 10 kilos
15/02/2017,Mandarina,Murcott,Agrícola del Norte S.A. de Arica,200,Tercera,10.924,11.345,11.765,$/caja 20 kilos
15/02/2017,Cebolla,Sin especificar,Agrícola del Norte S.A. de Arica,200,1a (cosecha),1.681,1.891,2.101,$/malla 18 kilos
15/02/2017,Mango,Sin especificar,Agrícola del Norte S.A. de Arica,450,Especial,3.193,3.287,3.361,$/bandeja 4 kilos
15/02/2017,Cebolla,Sin especificar,Agrícola del Norte S.A. de Arica,450,2a (cosecha),1.261,1.447,1.681,$/malla 18 kilos
15/02/2017,Mango,Sin especificar,Agrícola del Norte S.A. de Arica,550,Primera,3.361,3.361,3.361,$/bandeja 4 kilos
15/02/2017,Cebolla,Sin especificar,Agrícola del Norte S.A. de Arica,550,3a (cosecha),840,1.108,1.261,$/malla 18 kilos
15/02/2017,Mango,Sin especificar,Agrícola del Norte S.A. de Arica,600,Segunda,3.193,3.277,3.361,$/bandeja 4 kilos
15/02/2017,Melón,Tuna,Agrícola del Norte S.A. de Arica,2.400,Segunda,504,504,504,$/kilo
15/02/2017,Mango,Sin especificar,Agrícola del Norte S.A. de Arica,500,Tercera,3.193,3.294,3.361,$/bandeja 4 kilos
15/02/2017,Papa,Asterix,Agrícola del Norte S.A. de Arica,700,1a nueva(o),12.605,13.085,13.445,$/saco 50 kilos
15/02/2017,Naranja,Valencia,Agrícola del Norte S.A. de Arica,240,Tercera,588,609,630,$/kilo (en caja de 20 kilos)
15/02/2017,Pepino dulce,Cultivar IV Región,Agrícola del Norte S.A. de Arica,250,Primera,9.244,9.664,10.084,$/caja 15 kilos
15/02/2017,Palta,Hass,Agrícola del Norte S.A. de Arica,200,Tercera,45.378,45.798,46.218,$/caja 30 kilos
15/02/2017,Acelga,Sin especificar,Central Lo Valledor de Santiago,90,Primera,11.765,11.765,11.765,$/docena de atados
15/02/2017,Uva,Red Globe,Agrícola del Norte S.A. de Arica,400,Segunda,11.765,12.185,12.605,$/caja 25 kilos
15/02/2017,Acelga,Sin especificar,Central Lo Valledor de Santiago,120,Primera,16.807,16.807,16.807,$/docena de atados (12 kilos)
15/02/2017,Uva,Sultanina,Agrícola del Norte S.A. de Arica,300,Segunda,11.765,12.185,12.605,$/caja 25 kilos
15/02/2017,Acelga,Sin especificar,Central Lo Valledor de Santiago,80,Segunda,10.084,10.084,10.084,$/docena de atados
15/02/2017,Arándano (blue),Sin especificar,Central Lo Valledor de Santiago,160,Primera,2.521,2.521,2.521,$/bandeja 2 kilos
15/02/2017,Ajo,Chilote,Central Lo Valledor de Santiago,840,Primera,19.328,19.778,20.168,$/caja 10 kilos
15/02/2017,Ciruela,Angeleno,Central Lo Valledor de Santiago,12,Primera,75.630,75.630,75.630,$/bins (450 kilos)
15/02/2017,Ají,Chilena(o),Central Lo Valledor de Santiago,110,Primera,7.563,8.021,8.403,$/saco 25 kilos
15/02/2017,Ciruela,Angeleno,Central Lo Valledor de Santiago,8,Segunda,50.420,50.420,50.420,$/bins (450 kilos)
15/02/2017,Ají,Chilena(o),Central Lo Valledor de Santiago,30,Segunda,6.723,6.723,6.723,$/saco 25 kilos
15/02/2017,Ciruela,Larry Ann,Central Lo Valledor de Santiago,10,Especial,100.840,100.840,100.840,$/bins (450 kilos)
15/02/2017,Albahaca,Sin especificar,Central Lo Valledor de Santiago,760,Primera,1.681,2.145,2.521,$/docena de matas
15/02/2017,Ciruela,Larry Ann,Central Lo Valledor de Santiago,14,Primera,84.034,84.034,84.034,$/bins (450 kilos)
15/02/2017,Apio,Americana (o),Central Lo Valledor de Santiago,600,Primera,3.361,3.361,3.361,$/docena de matas
15/02/2017,Ciruela,Larry Ann,Central Lo Valledor de Santiago,10,Segunda,58.824,58.824,58.824,$/bins (450 kilos)
15/02/2017,Apio,Americana (o),Central Lo Valledor de Santiago,550,Segunda,1.681,1.681,1.681,$/docena de matas
15/02/2017,Ciruela,Pink Delight,Central Lo Valledor de Santiago,14,Primera,75.630,75.630,75.630,$/bins (450 kilos)
15/02/2017,Betarraga,Sin especificar,Central Lo Valledor de Santiago,20.000,Primera,84,84,84,$/unidad
15/02/2017,Ciruela,Pink Delight,Central Lo Valledor de Santiago,10,Segunda,50.420,50.420,50.420,$/bins (450 kilos)
