,Acel atado,,,,,,,,1100,1,Gramos,http://laferiadelivery.cl/
,Ají Grande ,,,,,,,,800,3,Unidades,http://laferiadelivery.cl/
,Ajo d,,,,,,,,250,1,Unidades,http://laferiadelivery.cl/
,Albahaca atado,,,,,,,,1050,1,Albahaca atado,http://laferiadelivery.cl/
,Apio d,,,,,,,,1390,1,Unidades,http://laferiadelivery.cl/
,Berenjenas ,,,,,,,,690,1,Unidades,http://laferiadelivery.cl/
,Berro Bandeja,,,,,,,,1020,1,Berro Bandeja,http://laferiadelivery.cl/
,Betarraga ,,,,,,,,1020,5,Unidades,http://laferiadelivery.cl/
,Brocoli d,,,,,,,,1190,1,Unidades,http://laferiadelivery.cl/
,Cebolla Morada ,,,,,,,,2500,1000,Gramos,http://laferiadelivery.cl/
,Cebolla ,,,,,,,,350,1,Unidades,http://laferiadelivery.cl/
,Cebollín ,,,,,,,,790,3,Unidades,http://laferiadelivery.cl/
,Arándanos s.,,,,,,,,4000,500,Gramos,http://laferiadelivery.cl/
,Ciruela ,,,,,,,,1540,1000,Gramos,http://laferiadelivery.cl/
,Duraznos ,,,,,,,,2200,1000,Gramos,http://laferiadelivery.cl/
,Frutillas ,,,,,,,,2200,1000,Gramos,http://laferiadelivery.cl/
,Mans,,,,,,,,3290,1,Gramos,http://laferiadelivery.cl/
,Manzana Verde ,,,,,,,,1190,1000,Gramos,http://laferiadelivery.cl/
,Melón Calameño ,,,,,,,,1400,1,Unidades,http://laferiadelivery.cl/
,Melón Tuna ,,,,,,,,1400,1,Unidades,http://laferiadelivery.cl/
,Naranja ,,,,,,,,1190,1000,Gramos,http://laferiadelivery.cl/
,Pera ,,,,,,,,1490,1000,Gramos,http://laferiadelivery.cl/
,Piña ,,,,,,,,1850,1,Unidades,http://laferiadelivery.cl/
,Plátano ,,,,,,,,990,1000,Gramos,http://laferiadelivery.cl/
