,Ciruelas,,,,,,,, 1200,1000,Gramos,www.lagranjaexpress.cl
,Duraznos  Pelados,,,,,,,, 1300,1000,Gramos,www.lagranjaexpress.cl
,Limones,,,,,,,, 1950,1000,Gramos,www.lagranjaexpress.cl
,Manzana Roja,,,,,,,, 1450,1000,Gramos,www.lagranjaexpress.cl
,Melon Tuna,,,,,,,, 1200,1,Unidades,www.lagranjaexpress.cl
,Naranja,,,,,,,, 1250,1000,Gramos,www.lagranjaexpress.cl
,Palta Hass,,,,,,,, 2950,1000,Gramos,www.lagranjaexpress.cl
,Peras,,,,,,,, 1450,1000,Gramos,www.lagranjaexpress.cl
,Piña Caramelo,,,,,,,, 1890,1,Unidades,www.lagranjaexpress.cl
,Platanos,,,,,,,, 950,1000,Gramos,www.lagranjaexpress.cl
,Aji Color,,,,,,,, 450,30,Gramos,www.lagranjaexpress.cl
,Aji Merken,,,,,,,, 350,20,Gramos,www.lagranjaexpress.cl
,Ajo En Polvo,,,,,,,, 390,15,Gramos,www.lagranjaexpress.cl
,Aliño Completo,,,,,,,, 390,15,Gramos,www.lagranjaexpress.cl
,Bicarbonato,,,,,,,, 450,30,Gramos,www.lagranjaexpress.cl
,Canela Entera,,,,,,,, 450,15,Gramos,www.lagranjaexpress.cl
,Canela Molida,,,,,,,, 350,15,Gramos,www.lagranjaexpress.cl
,Clavo De Olor Entero,,,,,,,, 350,5,Gramos,www.lagranjaexpress.cl
,Comino Entero,,,,,,,, 350,15,Gramos,www.lagranjaexpress.cl
,Comino Molido,,,,,,,, 350,15,Gramos,www.lagranjaexpress.cl
,Curry,,,,,,,, 350,15,Gramos,www.lagranjaexpress.cl
,Laurel,,,,,,,, 350,10,Gramos,www.lagranjaexpress.cl
,Oregano,,,,,,,, 350,15,Gramos,www.lagranjaexpress.cl
,Pimienta Negra Entera,,,,,,,, 450,15,Gramos,www.lagranjaexpress.cl
,Pimienta Negra Molida,,,,,,,, 450,15,Gramos,www.lagranjaexpress.cl
,Arvejas Partidas,,,,,,,, 2100,1000,Gramos,www.lagranjaexpress.cl
,Garbanzos Pelados,,,,,,,, 2250,1000,Gramos,www.lagranjaexpress.cl
,Lentejas,,,,,,,, 2300,1000,Gramos,www.lagranjaexpress.cl
,Porotos Tortola,,,,,,,, 2650,1000,Gramos,www.lagranjaexpress.cl
,Aji En Pasta,,,,,,,, 300,100,Gramos,www.lagranjaexpress.cl
,Huevos Extra Blanco,,,,,,,, 2350,1,Docena,www.lagranjaexpress.cl
,Huevos Extra Blanco,,,,,,,, 4750,30,Unidades,www.lagranjaexpress.cl
,Trigo Mote,,,,,,,, 700,500,Gramos,www.lagranjaexpress.cl
,Acelgas,,,,,,,, 790,500,Gramos,www.lagranjaexpress.cl
,Aji Verde,,,,,,,, 850,250,Gramos,www.lagranjaexpress.cl
,Ajo,,,,,,,, 290,1,Cabeza,www.lagranjaexpress.cl
,Betarragas,,,,,,,, 1090,5,Unidades,www.lagranjaexpress.cl
,Cebollas,,,,,,,, 350,1,Unidades,www.lagranjaexpress.cl
,Choclo Chileno (Pastelero),,,,,,,, 390,1,Unidades,www.lagranjaexpress.cl
,Cilantro,,,,,,,, 890,120,Gramos,www.lagranjaexpress.cl
,Espinacas,,,,,,,, 1250,1,Paquete,www.lagranjaexpress.cl
,Lechuga Escarola,,,,,,,, 890,1,Unidades,www.lagranjaexpress.cl
,Papas,,,,,,,, 590,1000,Gramos,www.lagranjaexpress.cl
,Pepino Ensalada,,,,,,,, 590,1,Unidades,www.lagranjaexpress.cl
,Perejil,,,,,,,, 790,150,Gramos,www.lagranjaexpress.cl
,Pimenton Rojo,,,,,,,, 890,1,Unidades,www.lagranjaexpress.cl
,Pimentones Verdes,,,,,,,, 650,1,Unidades,www.lagranjaexpress.cl
,Repollo Liso,,,,,,,, 1190,1,Unidades,www.lagranjaexpress.cl
,Tomates,,,,,,,, 890,1000,Gramos,www.lagranjaexpress.cl
,Zanahoria,,,,,,,, 790,1000,Gramos,www.lagranjaexpress.cl
,Zapallo,,,,,,,, 1150,1000,Gramos,www.lagranjaexpress.cl
,Zapallo Italiano,,,,,,,, 450,1,Unidades,www.lagranjaexpress.cl
