,Frutillas,,,,,,,,2980 ,, por Kilo,www.todofruta.cl
,Limones,,,,,,,,890 ,,,www.todofruta.cl
,Manzanas Fuji,,,,,,,,1190 ,,,www.todofruta.cl
,Manzanas Rojas,,,,,,,,980 ,,r,www.todofruta.cl
,Manzanas Verdes,,,,,,,,1180 ,,v,www.todofruta.cl
,Mandarinas,,,,,,,,1280 ,,,www.todofruta.cl
,Naranja Valencia,,,,,,,,960 ,,s de Jugo,www.todofruta.cl
,Palta Hass,,,,,,,,4580 ,,,www.todofruta.cl
,Peras Packham,,,,,,,,1190 ,,p,www.todofruta.cl
,Piñas,,,,,,,,1850 ,, extra por unidad,www.todofruta.cl
,Pomelos,,,,,,,,1380 ,,,www.todofruta.cl
,Plátanos,,,,,,,,990 ,,,www.todofruta.cl
,Tunas,,,,,,,,1480 ,,,www.todofruta.cl
,Caquis,,,,,,,,1690 ,,,www.todofruta.cl
,Mancaquis,,,,,,,,1680 ,,,www.todofruta.cl
,Naranja De Mesa,,,,,,,,1280 ,,de m,www.todofruta.cl
,Membrillo,,,,,,,,1100 ,,,www.todofruta.cl
,Kiwis,,,,,,,,1180 ,,,www.todofruta.cl
,Paltas Verdes,,,,,,,,3400 ,,v,www.todofruta.cl
,Pera Nely,,,,,,,,1180 ,,,www.todofruta.cl
,Achicoria,,,,,,,,780 ,,,www.todofruta.cl
,Acelgas,,,,,,,,1200 ,,,www.todofruta.cl
,Ají Verde,,,,,,,,700 ,,verde en Bandeja,www.todofruta.cl
,Ajos,,,,,,,,250 ,, por unidad,www.todofruta.cl
,Apio,,,,,,,,1480 ,, por unidad,www.todofruta.cl
,Berenjenas,,,,,,,,350 ,, por unidad,www.todofruta.cl
,Brocoli,,,,,,,,1180 ,,,www.todofruta.cl
,Betarragas,,,,,,,,900 ,, por paqu,www.todofruta.cl
,Cebolla Morada,,,,,,,,1100 ,,morada 500 gramos,www.todofruta.cl
,Cebollas,,,,,,,,380 ,, por unidad,www.todofruta.cl
,Choclos Americanos,,,,,,,,350 ,,por unidad,www.todofruta.cl
,Tomates,,,,,,,,1480 ,,,www.todofruta.cl
,Tomate Cherry,,,,,,,,2400 ,,cherry 500g,www.todofruta.cl
,Coliflor,,,,,,,,1200 ,, por unidad,www.todofruta.cl
,Espinacas,,,,,,,,990 ,, 500g,www.todofruta.cl
,Lechuga Escarola,,,,,,,,1100 ,,por unidad,www.todofruta.cl
,Lechuga Costina,,,,,,,,1380 ,,por unidad,www.todofruta.cl
,Lechuga Española,,,,,,,,890 ,,r unidad,www.todofruta.cl
,Papas,,,,,,,,860 ,,,www.todofruta.cl
